v_single	v_exponential	v_powerlaw	n_R_single	n_R_exponential	n_R_powerlaw
1.619999999999996443e-02	1.061999999999997495e-02	1.619999999999996443e-02	1.675603217158174729e+00	1.560760353021042768e+00	1.871972318339096386e+00
1.629999999999996035e-02	1.062999999999997454e-02	1.629999999999996035e-02	1.682620400837568475e+00	1.561881748848445550e+00	1.883696914934808841e+00
1.639999999999996322e-02	1.063999999999997413e-02	1.639999999999996322e-02	1.689696605587260869e+00	1.563005518179753750e+00	1.895592250682611724e+00
1.649999999999995914e-02	1.064999999999997372e-02	1.649999999999995914e-02	1.696832579185517442e+00	1.564131668558453425e+00	1.907662082514729907e+00
1.659999999999996201e-02	1.065999999999997332e-02	1.659999999999996201e-02	1.704029082096331749e+00	1.565260207560030370e+00	1.919910278400839942e+00
1.669999999999995793e-02	1.066999999999997291e-02	1.669999999999995793e-02	1.711286887739577267e+00	1.566391142792140867e+00	1.932340821480786897e+00
1.679999999999996080e-02	1.067999999999997250e-02	1.679999999999996080e-02	1.718606782768099972e+00	1.567524481894781774e+00	1.944957814383281747e+00
1.689999999999995672e-02	1.068999999999997209e-02	1.689999999999995672e-02	1.725989567351945420e+00	1.568660232540463495e+00	1.957765483740380397e+00
1.699999999999995959e-02	1.069999999999997169e-02	1.699999999999995959e-02	1.733436055469950832e+00	1.569798402434382734e+00	1.970768184908220588e+00
1.709999999999995551e-02	1.070999999999997128e-02	1.709999999999995551e-02	1.740947075208910455e+00	1.570938999314595907e+00	1.983970406905049666e+00
1.719999999999995838e-02	1.071999999999997087e-02	1.719999999999995838e-02	1.748523469070559555e+00	1.572082030952196341e+00	1.997376777578346196e+00
1.729999999999995430e-02	1.072999999999997046e-02	1.729999999999995430e-02	1.756166094286602863e+00	1.573227505151488792e+00	2.010992069013490369e+00
1.739999999999995717e-02	1.073999999999997006e-02	1.739999999999995717e-02	1.763875823142047494e+00	1.574375429750168642e+00	2.024821203197301855e+00
1.749999999999995309e-02	1.074999999999996965e-02	1.749999999999995309e-02	1.771653543307083023e+00	1.575525812619499533e+00	2.038869257950523206e+00
1.759999999999995596e-02	1.075999999999996924e-02	1.759999999999995596e-02	1.779500158177788505e+00	1.576678661664493886e+00	2.053141473144316720e+00
1.769999999999995188e-02	1.076999999999996883e-02	1.769999999999995188e-02	1.787416587225925779e+00	1.577833984824093871e+00	2.067643257216710051e+00
1.779999999999995475e-02	1.077999999999996843e-02	1.779999999999995475e-02	1.795403766358119713e+00	1.578991790071353929e+00	2.082380194006074436e+00
1.789999999999995067e-02	1.078999999999996802e-02	1.789999999999995067e-02	1.803462648284702929e+00	1.580152085413622620e+00	2.097358049919712641e+00
1.799999999999995354e-02	1.079999999999996761e-02	1.799999999999995354e-02	1.811594202898547223e+00	1.581314878892730036e+00	2.112582781456946890e+00
1.809999999999994946e-02	1.080999999999996720e-02	1.809999999999994946e-02	1.819799417664182295e+00	1.582480178585170538e+00	2.128060543107277880e+00
1.819999999999995233e-02	1.081999999999996680e-02	1.819999999999995233e-02	1.828079298017545762e+00	1.583647992602292609e+00	2.143797695645660806e+00
1.829999999999994825e-02	1.082999999999996639e-02	1.829999999999994825e-02	1.836434867776685298e+00	1.584818329090484479e+00	2.159800814848339634e+00
1.839999999999995112e-02	1.083999999999996598e-02	1.839999999999995112e-02	1.844867169563787268e+00	1.585991196231365308e+00	2.176076700654382634e+00
1.849999999999994704e-02	1.084999999999996557e-02	1.849999999999994704e-02	1.853377265238875360e+00	1.587166602241975255e+00	2.192632386799684419e+00
1.859999999999994991e-02	1.085999999999996517e-02	1.859999999999994991e-02	1.861966236345576675e+00	1.588344555374967104e+00	2.209475150952151523e+00
1.869999999999994583e-02	1.086999999999996476e-02	1.869999999999994583e-02	1.870635184569333642e+00	1.589525063918799663e+00	2.226612525378719454e+00
1.879999999999994870e-02	1.087999999999996435e-02	1.879999999999994870e-02	1.879385232208482082e+00	1.590708136197932721e+00	2.244052308177082899e+00
1.889999999999994462e-02	1.088999999999996394e-02	1.889999999999994462e-02	1.888217522658605541e+00	1.591893780573021555e+00	2.261802575107286550e+00
1.899999999999994749e-02	1.089999999999996354e-02	1.899999999999994749e-02	1.897133220910619311e+00	1.593082005441115001e+00	2.279871692060936983e+00
1.909999999999994341e-02	1.090999999999996313e-02	1.909999999999994341e-02	1.906133514063024670e+00	1.594272819235852845e+00	2.298268328208437516e+00
1.919999999999994628e-02	1.091999999999996272e-02	1.919999999999994628e-02	1.915219611848820502e+00	1.595466230427665666e+00	2.317001469867702390e+00
